ra,dec,hr,multiple,vmag,sptype
00h18m38.3s,+31d31m02s,HR71,G,5.87,A0IV
00h20m05.2s,+48d51m55s,HR76,G,6.52,A0V
00h20m54.5s,+10d58m37s,HR81,G,6.56,A0V
00h31m25.0s,-48d48m13s,HR125,W,4.77,A0V
00h33m19.3s,+70d58m54s,HR129,G,6.42,A0Vn
00h32m43.8s,-63d01m52s,HR136,W,5.09,A0V
00h42m42.9s,-38d27m48s,HR185,W,6.06,A0V
00h43m21.2s,-57d27m47s,HR191,W,4.36,A0IV
00h50m18.3s,+45d00m08s,HR234,G,6.15,A0pCr
00h58m31.1s,+66d21m08s,HR273,G,5.97,A0III
01h05m41.7s,+21d27m55s,HR311,G,5.56,A0Vn
01h10m39.3s,+68d46m43s,HR336,W,5.29,A0Vnn
01h17m03.6s,-66d23m53s,HR380,W,6.24,A0V
01h23m46.8s,+78d43m33s,HR386,G,6.07,A0Iab
01h25m46.5s,+70d58m48s,HR398,G,6.49,A0Vnn
01h27m47.0s,+40d20m08s,HR422,G,6.60,A0III
01h33m03.5s,-09d00m53s,HR444,G,6.59,A0III
01h42m20.5s,+68d02m35s,HR478,G,5.59,A0pSiSr
01h59m38.0s,+64d37m17s,HR567,G,5.26,A0Vn
02h02m02.8s,+02d45m49s,HR596,G,4.33,A0pSiSr
02h04m40.1s,+65d06m12s,HR598,G,6.52,A0V
02h03m54.7s,+42d19m51s,HR604,G,4.84,B8V+A0V
02h15m56.2s,+33d21m32s,HR655,G,5.28,A0V
02h15m28.3s,-09d27m56s,HR658,G,6.55,A0V
02h24m58.4s,-02d46m48s,HR704,G,6.33,A0III
02h28m04.4s,-64d17m59s,HR734,G,6.37,A0V
02h42m22.0s,+20d00m42s,HR793,G,5.69,A0Vnp:
02h48m45.9s,+25d11m17s,HR830,G,5.86,A0V
02h49m54.2s,-27d56m30s,HR845,G,5.39,A0V
02h50m47.9s,-39d55m54s,HR853,G,6.36,A0V
02h57m32.7s,-38d11m28s,HR893,G,6.41,A0Vn
02h59m38.3s,-32d30m26s,HR903,G,6.31,A0V
03h02m15.4s,-71d54m09s,HR939,W,5.53,B3V+A0IV
03h10m08.8s,+27d49m12s,HR945,G,6.42,A0V
03h15m48.0s,+57d08m27s,HR964,G,5.79,A0Ia
03h12m25.8s,-44d25m11s,HR968,W,5.93,F7III+A0V
03h16m11.3s,-30d49m39s,HR990,G,6.65,A0V
03h22m16.3s,-25d35m16s,HR1018,G,6.35,A0V
03h24m29.7s,+33d32m09s,HR1019,G,5.61,A0V
03h25m09.4s,+41d15m26s,HR1026,G,6.51,A0V
03h27m18.7s,+12d44m06s,HR1039,G,6.28,A0V
03h29m54.9s,+58d52m43s,HR1040,G,4.54,A0Ia
03h26m11.7s,-41d38m13s,HR1049,G,6.32,A0V
03h35m12.4s,+73d20m49s,HR1055,G,6.57,A0Vn
03h31m29.4s,+49d12m35s,HR1056,G,6.29,A0Vn
03h30m24.5s,+11d20m11s,HR1061,G,5.14,A0Vn
03h38m47.7s,-27d56m35s,HR1114,G,6.01,A0V
03h44m28.1s,+20d55m43s,HR1137,G,6.10,A0V
03h46m02.9s,+24d31m41s,HR1152,D,6.43,A0Vn
03h49m19.6s,+57d07m05s,HR1161,W,6.46,A0Vn
04h01m14.7s,+36d59m24s,HR1234,G,6.41,A0V
04h00m36.9s,+17d17m48s,HR1237,G,6.32,A0V
04h06m35.0s,+50d21m05s,HR1261,G,4.29,A0IVn
04h19m36.7s,+21d46m25s,HR1341,G,5.38,A0pSi
04h27m00.9s,+57d35m07s,HR1382,G,6.32,A0III
04h33m59.8s,-55d02m42s,HR1465,W,3.27,A0IIISi
04h41m24.1s,+48d18m03s,HR1482,G,5.67,A0V
04h50m36.4s,+70d56m30s,HR1510,G,6.37,A0IV
04h45m49.6s,-34d00m18s,HR1524,G,6.86,A0V
04h54m51.3s,+44d03m39s,HR1558,G,6.08,A0V
04h54m53.8s,+10d09m03s,HR1570,W,4.65,A0Vp
04h55m58.4s,+05d23m57s,HR1578,G,6.50,A0V
04h58m09.4s,+25d03m01s,HR1590,G,5.81,A0V
05h04m34.1s,+15d24m15s,HR1638,G,4.68,A0pSi
05h14m35.6s,+76d28m22s,HR1650,G,6.37,A0V
05h06m36.7s,-13d07m19s,HR1661,G,6.05,A0V
05h18m13.3s,+73d16m05s,HR1683,G,5.74,A0V
05h14m44.3s,+53d12m50s,HR1692,G,6.20,A0V
05h16m04.1s,+11d20m29s,HR1718,G,5.56,A0V
05h16m41.1s,+01d56m50s,HR1724,G,6.42,A0V
05h19m00.0s,+33d44m54s,HR1732,G,5.41,A0pSi
05h23m27.8s,+57d32m40s,HR1751,W,5.28,A0Vn
05h19m23.7s,-27d22m08s,HR1758,G,5.99,A0V
05h20m26.9s,-21d14m22s,HR1762,G,4.71,A0V
05h26m48.9s,+34d23m30s,HR1795,G,5.94,A0III
